account_name,shipping_country,shipping_state_province,shipping_city,shipping_address_line_2,shipping_address_line_3,shipping_address_line_1,shipping_street
University of Hawaii at Manoa-Rescue Team,United States,Hawaii,Honolulu,,,,
University of Illinois Chicago - Rescue Team,United States,Illinois,Chicago,,,,
University of Illinois Urbana Champaign - Rescue Team,United States,Illinois,Urbana,,,,
University of Iowa - Rescue Team,United States,Iowa,Iowa City,,,,
University of Kansas - Rescue Team,United States,Kansas,Lawrence,,,,
University of Maryland-College Park-Rescue Team,United States,Maryland,College Park,,,,
University of Michigan - Rescue Team,United States,Michigan,Ann Arbor,,,,
University of Minnesota-Rescue Team,United States,Minnesota,Minneapolis,,,,
University of Mount Union-Semi Rescue Team,United States,Ohio,Alliance,,,1972 Clark Ave,1972 Clark Ave
University of Nevada Las Vegas -Rescue Team,United States,Nevada,Las Vegas,,,4505 S. Maryland Pkwy.,4505 S. Maryland Pkwy.
University of New South Wales - Rescue Team,Australia,New South Wales,Sydney,,,,
University of North Carolina Chapel Hill - Rescue Team,United States,North Carolina,Chapel Hill,,,University of North Carolina at Chapel Hill,University of North Carolina at Chapel Hill
University of North Florida-Rescue Team,United States,Florida,Jacksonville,,,,
University of Notre Dame - Rescue Team,United States,Indiana,South Bend,,,University of Notre Dame,University of Notre Dame
University of Pennsylvania - Rescue Team,United States,Pennsylvania,Philadelphia,,,,
University of Pittsburgh-Rescue Team,United States,Pennsylvania,Pittsburgh,,,,
University of Redlands - Rescue Team,United States,California,Redlands,,,1200 East Colton Avenue,1200 East Colton Avenue
University of Regina-Rescue Team,United States,Saskatchewan,Regina,,,,
University of Rochester - Rescue Team,United States,New York,Rochester,,,University of Rochester,University of Rochester
University of Southern California (USC) - Rescue Team,United States,California,Los Angeles,,,,
University of Southern Maine-Semi Rescue Team,United States,Maine,Portland,,,96 Falmouth St,96 Falmouth St
University of Texas at Austin - Rescue Team,United States,Texas,Austin,,,,
University of Texas at Dallas-Rescue Team,United States,Texas,Dallas,,,,
University of Toronto - Rescue Team,Canada,Ontario,Toronto,"27 King's College Circle,",,"University of Toronto,","University of Toronto, 27 King's College Circle,"
University of Virginia - Rescue Team,United States,Virginia,Charlottesville,,,,
University of Wisconsin Madison - Rescue Team,United States of America,Wisconsin,Madison,,,,
University of Wisconsin River Falls-Rescue Team,United States,Wisconsin,River Falls,,,,
Van Nuys High School - Rescue Team,United States,California,Van Nuys,,,,
Vancouver Korean Presbyterian Church-Rescue Team,Canada,British Columbia,Vancouver,,,,
Vanderbilt University - Rescue Team,United States,Tennessee,Nashville,,,2201 West End Avenue,2201 West End Avenue
Vassar College - Rescue Team,United States,New York,Poughkeepsie,,,,
Walnut High School-Rescue Team,United States,California,Walnut,,,400 Pierre Rd,400 Pierre Rd
Walnut Hill School for the Arts-Rescue Team,United States,Massachusetts,Natick,,,,
Walton High School-Rescue Team,United States,Georgia,Marietta,,,,
Washburn Rural HIgh School - Rescue Team,United States of America,Kansas,Topeka,,,,
Washington University in St. Louis - Rescue Team,United States,Missouri,St. Louis,,,,
Washtenaw Community College-Semi Rescue Team,United States,Michigan,Ann Arbor,,,,
Watchung Hills Regional High School - Rescue Team,United States,New Jersey,Englewood,,,,
Wayzata High School-Rescue Team,United States,Minnesota,Plymouth,,,,
Wesleyan University - Rescue Team,United States,Connecticut,Middletown,,,,
West Ranch High School-Rescue Team,United States,California,Santa Clarita,,,,
Westfield High School - Rescue Team,United States,Virginia,Chantilly,,,4700 Stonecroft Blvd,4700 Stonecroft Blvd
Westminster High School - Rescue Team,United States of America,California,Westminster,,,14325 Goldenwest Street,14325 Goldenwest Street
Westridge School - Rescue Team,United States,California,Pasadena,"Pasadena, California 91105",,"324 Madeline Drive,","324 Madeline Drive, Pasadena, California 91105"
Westtown School - Rescue Team,United States,Pennsylvania,West Chester,,,,
Wheatland High School-Rescue Team,United States,California,Wheatland,,,,
Wheaton College-Rescue Team,United States,Illinois,Wheaton,,,,
Whitney M. Young Magnet High School- Rescue Team,United States,Illinois,Chicago,,,211 S Laflin St,211 S Laflin St
Wichita State University - Rescue Team,United States,Kansas,Wichita,,,1845 Fairmount St.,1845 Fairmount St.
William Aberhart High School - Rescue Team,Canada,Alberta,Calgary,,,,
William Fremd High School-Rescue Team,United States,Illinois,Palatine,,,,
William Paterson University-Rescue Team,United States,New Jersey,Wayne,,,,
